   x_1          x_2          x_3
-0.530182    -1.513529     0.406242
2.318700     2.844821     1.363466
0.551880    -0.055377     0.671564
-0.473420    -0.027453    -0.299889
-0.257230    -0.476866    -0.357015
1.442305     0.492263     1.297078
0.676540     0.946079     0.067151
0.771716     0.494868     0.482329
-0.151511     0.277679    -0.198462
-1.251494    -0.582052    -1.406388
0.709733     1.991062     0.084366
0.050463    -0.302693     0.409909
-0.753326    -1.075978    -0.040833
0.210578    -0.911042     0.690093
0.025997     0.426186    -0.440087
-1.164880    -0.102823    -1.752095
2.443634     2.482288     1.795400
0.098633    -0.434148     0.358546
-0.545139     0.093295    -0.620886
0.684376     0.855555     0.488192
1.023047     0.564514     1.062163
0.206512    -0.831355     1.087150
-0.694336    -0.752588    -0.546751
0.744782     0.949304     0.176351
0.348144     0.793364     0.051952
0.618100     0.454876     1.095608
1.887171     1.494173     1.535635
-0.707230    -0.283346    -0.769684
0.965202     0.812853     0.482611
-1.201481    -0.882051    -1.160845
0.456863     0.238475     0.876003
-0.327935     0.191483    -0.818914
-0.406975    -0.929802    -0.262242
1.596218     0.856048     1.337620
0.160351     0.141102     0.162061
-0.670030    -0.353569    -0.492464
-1.679099    -0.907297    -2.009464
1.114060     1.522863     0.530564
-0.130086    -0.414056     0.301676
-0.737747    -1.450978    -0.028378
-1.382434    -1.615251    -1.142647
-0.126319     0.917624    -0.698017
-0.886666    -0.831034    -0.659738
1.021292     0.742671     1.137375
-0.124897     0.431394    -0.248407
0.279986     0.485363     0.038029
-1.668867    -1.219875    -1.427616
-0.953454    -0.754441    -0.763186
-0.258455    -1.145298     0.869306
-2.264774    -2.093390    -1.894825
-0.235988    -1.068456     0.474494
0.222407     1.077177    -0.002437
1.821174     1.872204     1.609923
-0.080694    -0.283952    -0.088575
-2.609250    -1.982974    -2.198635
1.508868     0.881868     1.547739
-0.209560     0.393501    -0.618264
1.409844    -0.351325     2.126952
-0.709718    -0.898328    -0.073800
1.621890     1.270493     1.649966
-0.247485    -0.049255    -0.318029
-0.394471    -0.484836    -0.207621
-0.582120    -0.737385    -0.226774
0.164334     0.534703    -0.168050
1.911346     0.893945     2.238262
-1.663400    -1.138138    -1.671294
-1.333146    -1.473995    -0.950368
-0.268623    -0.488996    -0.152924
-1.020415    -0.128401    -1.565787
-0.650688    -0.611402    -0.530599
1.556243     1.723784     1.233013
-0.439473    -0.951313    -0.207300
-0.860236     0.226345    -1.634887
-0.279075     0.394423    -0.364149
-1.510587    -1.485197    -1.325587
-0.004785    -0.348047     0.039532
-0.386978    -0.610969    -0.222721
0.070913     0.250382     0.371515
-1.069395    -1.282925    -0.717537
-0.401794    -0.743559    -0.217775
0.155456     0.423877    -0.268075
-0.402194    -0.441900    -0.470482
0.077703     0.829770    -0.223384
-1.548242    -1.586700    -0.895246
1.390413     0.923968     1.438650
1.199222     1.202561     0.925175
0.240836    -0.540507     0.497130
0.120251     0.099393     0.102899
-0.059872    -1.547868     0.786471
1.504169     1.176066     1.210604
-0.955277    -0.047810    -1.319637
-1.678338    -1.427714    -1.652730
0.412325    -0.634488     1.060998
1.920364     1.568642     1.484503
0.858291     1.769474     0.610705
0.091269     0.214800    -0.248478
1.211295     1.740255     0.342368
-0.076023     0.520459    -0.305093
0.339547     0.038694     0.327224
1.064103     0.558521     1.034914
