   y_1          y_2
-0.652426    -1.272198
3.266588     3.996498
0.710830     0.410958
-0.414084    -0.405975
-0.617918    -0.689459
1.668224     1.607767
0.816637     0.991885
0.918274     0.986129
-0.053219     0.048551
-1.803823    -1.724242
1.317685     1.838724
0.200594     0.019117
-0.827791    -1.104649
0.188404    -0.393776
-0.025345     0.042808
-1.669315    -1.468526
3.450949     3.852424
0.037626    -0.086171
-0.545000    -0.455913
1.092535     1.209672
1.452433     1.351961
0.468822    -0.082771
-1.043134    -1.165337
0.883687     0.980695
0.534558     0.820616
1.303290     1.243542
2.513849     2.612200
-0.994773    -0.892437
1.118365     1.184826
-1.698016    -1.794168
0.951853     0.843347
-0.602921    -0.411372
-0.861043    -1.064879
1.914914     1.995050
0.190857     0.203185
-0.715338    -0.774908
-2.442120    -2.412790
1.624806     1.968312
-0.023680    -0.171257
-1.065610    -1.489968
-2.175278    -2.442368
-0.049259     0.403669
-1.278523    -1.304118
1.537620     1.505108
0.029103     0.140130
0.353135     0.481095
-2.282631    -2.388267
-1.204501    -1.348232
-0.073203    -0.573237
-3.239816    -3.585716
-0.293626    -0.671027
0.643258     0.922614
2.720819     3.051293
-0.208794    -0.343837
-3.528372    -3.737753
2.180381     2.113527
-0.270941    -0.127622
1.811056     1.375891
-0.641297    -1.071127
2.438128     2.530112
-0.399447    -0.232569
-0.539463    -0.649056
-0.705000    -0.949480
0.252682     0.469905
2.803025     2.595321
-2.486976    -2.374196
-2.010797    -2.139397
-0.399823    -0.523977
-1.640967    -1.244783
-0.871946    -1.073417
2.343875     2.600695
-0.742331    -1.120471
-1.363498    -1.094129
-0.087461     0.034776
-2.236564    -2.527338
-0.204152    -0.263443
-0.646238    -0.629057
0.463218     0.428528
-1.523493    -1.702714
-0.700523    -0.885416
0.094684     0.268902
-0.785802    -0.746680
0.304277     0.686384
-1.988784    -2.281171
2.037699     2.094898
1.725678     1.937917
0.212457    -0.011807
0.168191     0.129829
-0.257163    -0.866795
1.958381     2.079535
-1.334691    -1.045664
-2.538205    -2.750481
0.536215     0.288537
2.396268     2.767910
1.658739     2.150284
-0.008529     0.103377
1.551920     1.994011
0.046054     0.170532
0.378902     0.298546
1.347919     1.292104
